Country Name,Country Code,Series Name,Series Code,2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000],1999 [YR1999],1998 [YR1998],1997 [YR1997],1996 [YR1996],1995 [YR1995],1994 [YR1994],1993 [YR1993],1992 [YR1992],1991 [YR1991],1990 [YR1990]
Singapore,SGP,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,..,..,0.000205784039531388,0.00027949209283938,0.000193451362142595,0.000214885573385602,0.000489915285010207,0.0257284513975441,0.0303414546981173,0.0894269191702529,0.101048662950331,0.126382842852075,0.135045943981692,0.0331880645125181,0.00620565405884442,0.0223049536247879,0.00591842416746804,0.00309655544808616,0.000531538391024334,0.000591418513901781,0.000609928317771465,0.000442799930289007,0.000405087876089489,0.000328039657152224,0.000367601005379535,0.000699626874938389,0.000713282316805002,0.000837837318545931,0.000943167080060283,0.000735019101973166,0.000686450196296084,0.00102042398997054,0.000739059728899477,0.000929718570924975
Singapore,SGP,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,..,..,0.000205784039531388,0.00027949209283938,0.000193451362142595,0.000214885573385602,0.000489915285010207,0.000451399955666292,0.000410765140846283,0.000508153495710936,0.000356772470588454,0.000413794659905994,0.000532406287721548,0.000458166409910646,0.000609159017424225,0.000644428650994973,0.000405841992866882,0.000332646745878538,0.000347635786991028,0.000591418513901781,0.000609928317771465,0.000442799930289007,0.000405087876089489,0.000328039657152224,0.000367601005379535,0.000699626874938389,0.000713282316805002,0.000837837318545931,0.000943167080060283,0.000735019101973166,0.000686450196296084,0.00102042398997054,0.000739059728899477,0.000929718570924975
Singapore,SGP,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,83.1166666666667,82.1666666666667,81.3833333333333,83.2166666666667,84.9666666666667,84.5833333333333,108.505583333333,132.427833333333,160.033416666667,187.639,219.91125,252.1835,284.45575,315.061333333333,346.289138883333,377.51694445,366.79675,352.521,338.24525,328.236166666667,313.89375,302.556666666667,291.219583333333,279.8825,268.545416666667,257.208333333333,245.87125,234.534166666667,223.197083333333,211.86,200.522916666667
Singapore,SGP,Forest area (% of land area),AG.LND.FRST.ZS,..,..,21.4345403899721,21.6852367688022,21.9972067039106,22.3109243697479,22.626404494382,22.9696755994358,23.2318758815233,23.5898448519041,24.015558698727,24.4090651558074,24.8389204545455,25.2712250712251,25.2395714285714,25.1357142857143,25.2119424460432,25.1435158501441,25.2204644412192,25.1149492017417,25.0822416302766,25.4204444444444,25.5016417910448,25.3932835820895,25.0668656716418,24.7405970149254,24.4141791044776,24.0879104477612,23.7614925373134,23.4350746268657,23.1088059701493,22.7823880597015,22.4561194029851,22.1297014925373
Singapore,SGP,Tree Cover Loss (hectares),AG.LND.FRLS.HA,..,..,201,165,288,289,263,154,155,191,26,92,74,44,177,35,74,56,82,35,19,124,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,2.463630223174,2.463630223174,2.46363019296917,2.46363019296917,2.46306282917716,2.46306282917716,2.48665252687779,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Singapore,SGP,Agricultural land (% of land area),AG.LND.AGRI.ZS,..,..,0.919220055710306,0.919220055710306,0.921787709497207,0.92436974789916,0.926966292134832,0.930888575458392,0.930888575458392,0.930888575458392,0.947666195190948,1.03399433427762,1.03693181818182,1.05413105413105,1,1,1.15107913669065,1.0806916426513,1.10304789550073,1.1611030478955,1.16448326055313,1.77777777777778,1.7910447761194,1.7910447761194,1.7910447761194,1.7910447761194,1.7910447761194,1.7910447761194,1.7910447761194,1.7910447761194,1.7910447761194,1.7910447761194,1.7910447761194,2.98507462686567
Singapore,SGP,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,0.0281098874392467,0.0314737034748584,0.0328901382009906,0.03219430968008,0.0301374638183222,0.0307783764923241,0.0315821929976016,0.0326135138026483,0.0345408510735362,0.0343752167938134,0.033272726533169,0.0346076007512354,0.0361489888834213,0.0406877612701381,0.0414321884664469,0.0428679973714474,0.0488654244516825,0.0550481142142599,0.0556489896262466,0.0611340723110266,0.0710328000140014,0.0823566559095407,0.092131732680321,0.111245961607494,0.111378366529616,0.132916824740826,0.150025188323224,0.144861979394729,0.173159173171612,0.172788647418229,0.197361758450875,0.250054747220624,0.323439581344345
Singapore,SGP,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,131.01,133.72,123.38,123.45,111.07,133.2,105.48,99.27,95.25,96.5,87.43,83.75,76.05,73.71,73.76,80.52,77.6,74.47,94.7,83.95,76.67,58.11,57.18,131.61,123.12,140.5,102.91,127.93,129.02,172.59,263.38,321.57,378.92
Singapore,SGP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,..,..,..,2.16304993629456,1.8850599527359,1.80957996845245,1.89904999732971,2.07291007041931,2.1744499206543,2.082279920578,1.92104005813599,1.91832995414734,2.06955003738403,1.92918002605438,2.12789988517761,2.59674000740051,2.31985998153687,2.1165599822998,2.14806008338928,2.07858991622925,1.99679005146027,2.03281998634338,2.00929999351501,1.81699001789093,1.81623995304108,1.73706996440887,1.41563999652863,1.31991004943848,..,..,..,..,..,..
